Sl. No.,Regions,State/UT,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April` 2023 to March 2024 - Col (2),November` 2023 - Program - Col (3),November` 2023 - Actual - Col (4),November` 2023 - Actual Same Month 2022-23 - Col (5),November` 2023 - % of Program  ( 4/3) - Col (6),November` 2023 - % of Last Year  ( 4/5)- Col (7),April` 2023 to November` 2023 - Program - Col (8),April` 2023 to November` 2023 - Actual - Col (9),April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to November` 2023 - % of Program ( 9/8) - Col (11),April` 2023 to November` 2023 - % of Last Year ( 9/10) - Col (12),Plant Load Factor ( %) - November` 2023 - Program - Col (13),Plant Load Factor ( %) - November` 2023 - Actual - Col (14),Plant Load Factor ( %) - November 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor ( %) - April 2023 to November` 2023 - Program - Col (16),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual - Col (17),Plant Load Factor ( %) - April` 2023 to November` 2023 - Actual Same Period 2022-23 - Col (18)
75,Northern Region,Himachal Pradesh,Central Sector,NTPC Ltd.,Hydro,800,3100,84,112.93,124.7,134.44,90.56,2781,2622.93,2797.68,94.32,93.75,NA,NA,NA,NA,NA,NA
76,Northern Region,Himachal Pradesh,Central Sector,NATHPA JHAKRI HPS,NA,1500,6925,304,281.35,314.39,92.55,89.49,6074,5509.65,6273.38,90.71,87.83,NA,NA,NA,NA,NA,NA
77,Northern Region,Himachal Pradesh,Central Sector,RAMPUR HPS,NA,412.02,1940,85,80.69,89.28,94.93,90.38,1703,1548.97,1752.13,90.96,88.4,NA,NA,NA,NA,NA,NA
78,Northern Region,Himachal Pradesh,Central Sector,SJVNL,Hydro,1912.02,8865,389,362.04,403.67,93.07,89.69,7777,7058.62,8025.51,90.76,87.95,NA,NA,NA,NA,NA,NA
79,Northern Region,Himachal Pradesh,Central Sector,Central,Hydro,7266.02,27171,1249,1265.88,1375.25,101.35,92.05,22730,22010.19,22674.22,96.83,97.07,NA,NA,NA,NA,NA,NA
80,Northern Region,Himachal Pradesh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
81,Northern Region,Himachal Pradesh,Central Sector,Total,Hydro,10263.02,38524,1684,1638.73,1844.65,97.31,88.84,32656,30838.14,32729.81,94.43,94.22,NA,NA,NA,NA,NA,NA
82,Northern Region,Himachal Pradesh,Central Sector,Total,Himachal Pradesh,10263.02,38524,1684,1638.73,1844.65,97.31,88.84,32656,30838.14,32729.81,94.43,94.22,NA,NA,NA,NA,NA,NA
83,Northern Region,Jammu and Kashmir,State Sector,PAMPORE GPS (Liq.),NA,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
84,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
85,Northern Region,Jammu and Kashmir,State Sector,State Sector,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
86,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR HPS,NA,450,2751,155,128.23,140.57,82.73,91.22,2250,2127.64,2211.66,94.56,96.2,NA,NA,NA,NA,NA,NA
87,Northern Region,Jammu and Kashmir,State Sector,BAGLIHAR II HPS,NA,450,1700,0,0,0,0,0,1700,1518.16,1453.79,89.3,104.43,NA,NA,NA,NA,NA,NA
88,Northern Region,Jammu and Kashmir,State Sector,LOWER JHELUM HPS,NA,105,650,40,26.95,35.19,67.38,76.58,475,390.01,441.01,82.11,88.44,NA,NA,NA,NA,NA,NA
89,Northern Region,Jammu and Kashmir,State Sector,UPPER SINDH-II HPS,NA,105,450,14,1.82,11.52,13,15.8,403,111.61,231.37,27.69,48.24,NA,NA,NA,NA,NA,NA
90,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Hydro,1110,5551,209,157,187.28,75.12,83.83,4828,4147.42,4337.83,85.9,95.61,NA,NA,NA,NA,NA,NA
91,Northern Region,Jammu and Kashmir,State Sector,State Sector,Hydro,1110,5551,209,157,187.28,75.12,83.83,4828,4147.42,4337.83,85.9,95.61,NA,NA,NA,NA,NA,NA
92,Northern Region,Jammu and Kashmir,Central Sector,DULHASTI HPS,NA,390,2267,120,124.28,111.93,103.57,111.03,1946,1762.3,1866.29,90.56,94.43,NA,NA,NA,NA,NA,NA
93,Northern Region,Jammu and Kashmir,Central Sector,KISHANGANGA HPS,NA,330,1712,54,33.15,35.28,61.39,93.96,1470,1187.58,1273.81,80.79,93.23,NA,NA,NA,NA,NA,NA
94,Northern Region,Jammu and Kashmir,Central Sector,SALAL HPS,NA,690,3503,113,103.67,120.09,91.74,86.33,2985,2945.19,2843.58,98.67,103.57,NA,NA,NA,NA,NA,NA
95,Northern Region,Jammu and Kashmir,Central Sector,SEWA-II HPS,NA,120,507,12,14.33,15.58,119.42,91.98,399,425.48,359.03,106.64,118.51,NA,NA,NA,NA,NA,NA
96,Northern Region,Jammu and Kashmir,Central Sector,URI-I HPS,NA,480,2821,170,93.29,138.63,54.88,67.29,2181,1953.73,2138.66,89.58,91.35,NA,NA,NA,NA,NA,NA
97,Northern Region,Jammu and Kashmir,Central Sector,URI-II HPS,NA,240,1623,95,63.42,88.49,66.76,71.67,1153,1067,1148.16,92.54,92.93,NA,NA,NA,NA,NA,NA
98,Northern Region,Jammu and Kashmir,Central Sector,NHPC,Hydro,2250,12433,564,432.14,510,76.62,84.73,10134,9341.28,9629.53,92.18,97.01,NA,NA,NA,NA,NA,NA
99,Northern Region,Jammu and Kashmir,Central Sector,Central,Hydro,2250,12433,564,432.14,510,76.62,84.73,10134,9341.28,9629.53,92.18,97.01,NA,NA,NA,NA,NA,NA
100,Northern Region,Jammu and Kashmir,Central Sector,Total,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
101,Northern Region,Jammu and Kashmir,Central Sector,Total,Hydro,3360,17984,773,589.14,697.28,76.21,84.49,14962,13488.7,13967.36,90.15,96.57,NA,NA,NA,NA,NA,NA
102,Northern Region,Jammu and Kashmir,Central Sector,Total,Jammu and Kashmir,3535,17984,773,589.14,697.28,76.21,84.49,14962,13488.7,13967.36,90.15,96.57,NA,NA,NA,NA,NA,NA
103,Northern Region,Ladakh,Central Sector,CHUTAK HPS,NA,44,204,11,6.39,5.66,58.09,112.9,173,144.71,149.98,83.65,96.49,NA,NA,NA,NA,NA,NA
104,Northern Region,Ladakh,Central Sector,NIMMO BAZGO HPS,NA,45,226,13,15.68,14.68,120.62,106.81,187,184.68,193.28,98.76,95.55,NA,NA,NA,NA,NA,NA
105,Northern Region,Ladakh,Central Sector,NHPC,Hydro,89,430,24,22.07,20.34,91.96,108.51,360,329.39,343.26,91.5,95.96,NA,NA,NA,NA,NA,NA
106,Northern Region,Ladakh,Central Sector,Central,Hydro,89,430,24,22.07,20.34,91.96,108.51,360,329.39,343.26,91.5,95.96,NA,NA,NA,NA,NA,NA
107,Northern Region,Ladakh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
108,Northern Region,Ladakh,Central Sector,Total,Hydro,89,430,24,22.07,20.34,91.96,108.51,360,329.39,343.26,91.5,95.96,NA,NA,NA,NA,NA,NA
109,Northern Region,Ladakh,Central Sector,Total,Ladakh,89,430,24,22.07,20.34,91.96,108.51,360,329.39,343.26,91.5,95.96,NA,NA,NA,NA,NA,NA
110,Northern Region,Punjub,State Sector,GH TPS (LEH.MOH.),NA,920,3150,246,259.84,283.06,105.63,91.8,2258,2901,2379.23,128.48,121.93,37.14,39.23,42.73,41.91,53.85,44.16
111,Northern Region,Punjub,State Sector,ROPAR TPS,NA,840,3200,201,235.29,213.31,117.06,110.3,2152,2540.68,2297.07,118.06,110.61,33.23,38.9,35.27,43.75,51.65,46.7
112,Northern Region,Punjub,State Sector,PSPCL,Coal,1760,6350,447,495.13,496.37,110.77,99.75,4410,5441.68,4676.3,123.39,116.37,35.27,39.07,39.17,42.79,52.8,45.37
113,Northern Region,Punjub,State Sector,State Sector,Thermal,1760,6350,447,495.13,496.37,110.77,99.75,4410,5441.68,4676.3,123.39,116.37,35.27,39.07,39.17,42.79,52.8,45.37
114,Northern Region,Punjub,State Sector,ANANDPUR SAHIB-I HPS,NA,67,265,6,7.27,6.22,121.17,116.88,218,195.99,173.14,89.9,113.2,NA,NA,NA,NA,NA,NA
115,Northern Region,Punjub,State Sector,ANANDPUR SAHIB-II HPS,NA,67,265,6,6.55,6.27,109.17,104.47,218,197.47,183.15,90.58,107.82,NA,NA,NA,NA,NA,NA
