Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
539,Southern Region,Andhra Pradesh,State Sector,LOWER SILERU HPS,NA,460,1084,92,107.31,110.5,116.64,97.11,599,640,672.05,106.84,95.23,NA,NA,NA,NA,NA,NA
540,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR RBC EXTN. HPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
541,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR RBC HPS,NA,90,128,28,0,42.23,0,0,71,0.09,133.31,0.13,0.07,NA,NA,NA,NA,NA,NA
542,Southern Region,Andhra Pradesh,State Sector,NAGARJUN SGR TPD,NA,50,90,13,0,18.26,0,0,41,0.64,41.14,1.56,1.56,NA,NA,NA,NA,NA,NA
543,Southern Region,Andhra Pradesh,State Sector,SRISAILAM HPS,NA,770,1047,147,0,452.13,0,0,755,6.05,1482.93,0.8,0.41,NA,NA,NA,NA,NA,NA
544,Southern Region,Andhra Pradesh,State Sector,UPPER SILERU HPS,NA,240,470,41,19.67,9.34,47.98,210.6,240,222.22,171.14,92.59,129.85,NA,NA,NA,NA,NA,NA
545,Southern Region,Andhra Pradesh,State Sector,APGENCO,Hydro,1610,2819,321,126.98,632.46,39.56,20.08,1706,869,2500.57,50.94,34.75,NA,NA,NA,NA,NA,NA
546,Southern Region,Andhra Pradesh,State Sector,State Sector,Hydro,1610,2819,321,126.98,632.46,39.56,20.08,1706,869,2500.57,50.94,34.75,NA,NA,NA,NA,NA,NA
547,Southern Region,Andhra Pradesh,Pvt Sector,VIZAG TPP,NA,1040,3800,284,621.83,342.97,218.95,181.31,2250,3527.18,2672.85,156.76,131.96,36.7,80.36,44.33,42.12,66.03,50.04
548,Southern Region,Andhra Pradesh,Pvt Sector,HNPC,Coal,1040,3800,284,621.83,342.97,218.95,181.31,2250,3527.18,2672.85,156.76,131.96,36.7,80.36,44.33,42.12,66.03,50.04
549,Southern Region,Andhra Pradesh,Pvt Sector,LVS POWER DG,NA,36.8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
550,Southern Region,Andhra Pradesh,Pvt Sector,LVS POWER,Diesel,36.8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
551,Southern Region,Andhra Pradesh,Pvt Sector,THAMMINAPATNAM TPS,NA,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Southern Region,Andhra Pradesh,Pvt Sector,MEL,Coal,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Southern Region,Andhra Pradesh,Pvt Sector,PAINAMPURAM TPP,NA,1320,9300,680,811.39,641.96,119.32,126.39,5363,5859.68,4994.62,109.26,117.32,69.24,82.62,65.37,79.11,86.43,73.67
554,Southern Region,Andhra Pradesh,Pvt Sector,SGPL TPP,NA,1320,8500,682,928.34,630.55,136.12,147.23,5150,5911.67,4736.3,114.79,124.82,69.44,94.53,64.21,75.96,87.2,69.86
555,Southern Region,Andhra Pradesh,Pvt Sector,SEIL,Coal,2640,17800,1362,1739.73,1272.51,127.73,136.72,10513,11771.35,9730.92,111.97,120.97,69.34,88.57,64.79,77.53,86.82,71.77
556,Southern Region,Andhra Pradesh,Pvt Sector,SIMHAPURI TPS,NA,600,0,0,338.9,0,0,0,0,1671.01,0,0,0,0,75.92,0,0,54.23,0
557,Southern Region,Andhra Pradesh,Pvt Sector,SEPL,Coal,600,0,0,338.9,0,0,0,0,1671.01,0,0,0,0,75.92,0,0,54.23,0
558,Southern Region,Andhra Pradesh,Pvt Sector,Pvt Sector,Thermal,4616.8,21600,1646,2700.46,1615.48,164.06,167.16,12763,16969.54,12403.77,132.96,136.81,48.3,79.25,47.41,54.26,72.14,52.73
559,Southern Region,Andhra Pradesh,Pvt Sector,VIJJESWARAM CCPP,NA,272,500,39,0,0,0,0,295,0,365.34,0,0,NA,NA,NA,NA,NA,NA
560,Southern Region,Andhra Pradesh,Pvt Sector,APGPCL,Natural Gas,272,500,39,0,0,0,0,295,0,365.34,0,0,NA,NA,NA,NA,NA,NA
561,Southern Region,Andhra Pradesh,Pvt Sector,PEDDAPURAM CCPP,NA,220,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
562,Southern Region,Andhra Pradesh,Pvt Sector,BSES AP,Natural Gas,220,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
563,Southern Region,Andhra Pradesh,Pvt Sector,GAUTAMI CCPP,NA,464,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
564,Southern Region,Andhra Pradesh,Pvt Sector,GAUTAMI,Natural Gas,464,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
565,Southern Region,Andhra Pradesh,Pvt Sector,GMR Energy Ltd - Kakinada,NA,220,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
566,Southern Region,Andhra Pradesh,Pvt Sector,GMR ENERG,Natural Gas,220,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
567,Southern Region,Andhra Pradesh,Pvt Sector,GREL CCPP (Rajahmundry),NA,768,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
568,Southern Region,Andhra Pradesh,Pvt Sector,GREL,Natural Gas,768,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
569,Southern Region,Andhra Pradesh,Pvt Sector,JEGURUPADU CCPP PH II,NA,220,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
570,Southern Region,Andhra Pradesh,Pvt Sector,GVKP&IL,Natural Gas,220,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
571,Southern Region,Andhra Pradesh,Pvt Sector,KONASEEMA CCPP,NA,445,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
572,Southern Region,Andhra Pradesh,Pvt Sector,KONA,Natural Gas,445,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
573,Southern Region,Andhra Pradesh,Pvt Sector,KONDAPALLI CCPP,NA,368.14,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
574,Southern Region,Andhra Pradesh,Pvt Sector,KONDAPALLI EXTN CCPP,NA,366,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
575,Southern Region,Andhra Pradesh,Pvt Sector,KONDAPALLI ST-3 CCPP,NA,742,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
576,Southern Region,Andhra Pradesh,Pvt Sector,KONDAPALI,Natural Gas,1476.14,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
577,Southern Region,Andhra Pradesh,Pvt Sector,GODAVARI CCPP,NA,208,400,32,0,0,0,0,240,0,0,0,0,NA,NA,NA,NA,NA,NA
578,Southern Region,Andhra Pradesh,Pvt Sector,SPGL,Natural Gas,208,400,32,0,0,0,0,240,0,0,0,0,NA,NA,NA,NA,NA,NA
579,Southern Region,Andhra Pradesh,Pvt Sector,VEMAGIRI CCPP,NA,370,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
580,Southern Region,Andhra Pradesh,Pvt Sector,VEMAGIRI,Natural Gas,370,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
581,Southern Region,Andhra Pradesh,Pvt Sector,Pvt Sector,Natural Gas,4663.14,900,71,0,0,0,0,535,0,365.34,0,0,NA,NA,NA,NA,NA,NA
582,Southern Region,Andhra Pradesh,Central Sector,SIMHADRI,NA,2000,13600,1061,1183.5,735.55,111.55,160.9,7997,6514.98,7227.32,81.47,90.14,71.3,79.54,49.43,77.85,63.42,70.36
583,Southern Region,Andhra Pradesh,Central Sector,NTPC Ltd.,Coal,2000,13600,1061,1183.5,735.55,111.55,160.9,7997,6514.98,7227.32,81.47,90.14,71.3,79.54,49.43,77.85,63.42,70.36
584,Southern Region,Andhra Pradesh,Central Sector,Central,Thermal,2000,13600,1061,1183.5,735.55,111.55,160.9,7997,6514.98,7227.32,81.47,90.14,71.3,79.54,49.43,77.85,63.42,70.36
585,Southern Region,Andhra Pradesh,Central Sector,Total,Thermal,12426.8,67200,4686,6439.77,4230.24,137.43,152.23,39196,42244.93,34566.28,107.78,122.21,47.75,72.88,49.06,57.86,68.18,58.07
586,Southern Region,Andhra Pradesh,Central Sector,Total,Natural Gas,4898.54,1100,87,0,7.59,0,0,655,0,609.82,0,0,NA,NA,NA,NA,NA,NA
587,Southern Region,Andhra Pradesh,Central Sector,Total,Hydro,1610,2819,321,126.98,632.46,39.56,20.08,1706,869,2500.57,50.94,34.75,NA,NA,NA,NA,NA,NA
588,Southern Region,Andhra Pradesh,Central Sector,Total,Andhra Pradesh,18935.34,71119,5094,6566.75,4870.29,128.91,134.83,41557,43113.93,37676.67,103.75,114.43,NA,NA,NA,NA,NA,NA
589,Southern Region,Karnataka,State Sector,BELLARY TPS,NA,1700,9000,507,455.69,342.29,89.88,133.13,5552,4404.62,3781.61,79.33,116.47,40.09,36.03,27.06,63.59,50.45,43.31
590,Southern Region,Karnataka,State Sector,RAICHUR TPS,NA,1720,8500,553,682.57,405.98,123.43,168.13,5307,4211.87,3201.18,79.36,131.57,43.21,53.34,31.73,60.08,47.68,36.24
591,Southern Region,Karnataka,State Sector,KPCL,Coal,3420,17500,1060,1138.26,748.27,107.38,152.12,10859,8616.49,6982.79,79.35,123.4,41.66,44.73,29.41,61.82,49.05,39.75
592,Southern Region,Karnataka,State Sector,YERMARUS TPP,NA,1600,6000,421,629.66,317.79,149.56,198.14,3617,3919.23,2527.84,108.36,155.04,35.37,52.89,26.7,44.02,47.69,30.76
593,Southern Region,Karnataka,State Sector,RPCL,Coal,1600,6000,421,629.66,317.79,149.56,198.14,3617,3919.23,2527.84,108.36,155.04,35.37,52.89,26.7,44.02,47.69,30.76
594,Southern Region,Karnataka,State Sector,State Sector,Thermal,5020,23500,1481,1767.92,1066.06,119.37,165.84,14476,12535.72,9510.63,86.6,131.81,39.65,47.34,28.54,56.15,48.62,36.89
595,Southern Region,Karnataka,State Sector,YELAHANKA CCPP,NA,0,500,42,0,0,0,0,292,0,0,0,0,NA,NA,NA,NA,NA,NA
596,Southern Region,Karnataka,State Sector,KPCL,Natural Gas,0,500,42,0,0,0,0,292,0,0,0,0,NA,NA,NA,NA,NA,NA
597,Southern Region,Karnataka,State Sector,State Sector,Natural Gas,0,500,42,0,0,0,0,292,0,0,0,0,NA,NA,NA,NA,NA,NA
598,Southern Region,Karnataka,State Sector,HAMPI HPS,NA,36,79,11,12.65,7.94,115,159.32,42,40.32,49.05,96,82.2,NA,NA,NA,NA,NA,NA
599,Southern Region,Karnataka,State Sector,T B DAM HPS,NA,36,81,11,7.21,14.34,65.55,50.28,42,24.19,61.72,57.6,39.19,NA,NA,NA,NA,NA,NA
600,Southern Region,Karnataka,State Sector,APGENCO,Hydro,72,160,22,19.86,22.28,90.27,89.14,84,64.51,110.77,76.8,58.24,NA,NA,NA,NA,NA,NA
601,Southern Region,Karnataka,State Sector,ALMATTI DPH HPS,NA,290,510,80,49.12,138.07,61.4,35.58,402,199.16,515.58,49.54,38.63,NA,NA,NA,NA,NA,NA
602,Southern Region,Karnataka,State Sector,BHADRA HPS,NA,26,60,9,4.25,7.3,47.22,58.22,33,19.1,67.7,57.88,28.21,NA,NA,NA,NA,NA,NA
603,Southern Region,Karnataka,State Sector,GERUSUPPA HPS,NA,240,548,40,30.26,43.41,75.65,69.71,335,249.28,334.86,74.41,74.44,NA,NA,NA,NA,NA,NA
604,Southern Region,Karnataka,State Sector,GHAT PRABHA HPS,NA,32,86,11,10.58,4.97,96.18,212.88,44,26.06,38.61,59.23,67.5,NA,NA,NA,NA,NA,NA
605,Southern Region,Karnataka,State Sector,JOG HPS,NA,139.2,350,30,27.87,53.57,92.9,52.03,220,235.13,345.89,106.88,67.98,NA,NA,NA,NA,NA,NA
606,Southern Region,Karnataka,State Sector,KADRA HPS,NA,150,400,28,24.13,22.9,86.18,105.37,276,230.64,272.67,83.57,84.59,NA,NA,NA,NA,NA,NA
607,Southern Region,Karnataka,State Sector,KALINADI HPS,NA,900,3000,245,220.14,205.98,89.85,106.87,1805,1890.46,1784.63,104.73,105.93,NA,NA,NA,NA,NA,NA
608,Southern Region,Karnataka,State Sector,KALINADI SUPA HPS,NA,100,406,32,45.28,29.14,141.5,155.39,162,295.74,172.33,182.56,171.61,NA,NA,NA,NA,NA,NA
609,Southern Region,Karnataka,State Sector,KODASALI HPS,NA,120,400,35,22,24.58,62.86,89.5,258,220.62,243.54,85.51,90.59,NA,NA,NA,NA,NA,NA
610,Southern Region,Karnataka,State Sector,LIGANAMAKKI HPS,NA,55,301,25,17.59,18.93,70.36,92.92,156,98.23,129.55,62.97,75.82,NA,NA,NA,NA,NA,NA
611,Southern Region,Karnataka,State Sector,MUNIRABAD HPS,NA,28,96,17,11.61,19.43,68.29,59.75,59,24.85,70.04,42.12,35.48,NA,NA,NA,NA,NA,NA
612,Southern Region,Karnataka,State Sector,SHARAVATHI HPS,NA,1035,4800,341,308.77,422.38,90.55,73.1,2771,2292.76,2900.72,82.74,79.04,NA,NA,NA,NA,NA,NA
613,Southern Region,Karnataka,State Sector,SIVASAMUNDRUM HPS,NA,42,225,27,22.6,25.31,83.7,89.29,151,107.06,183.55,70.9,58.33,NA,NA,NA,NA,NA,NA
614,Southern Region,Karnataka,State Sector,VARAHI HPS,NA,460,1060,75,51.28,81.19,68.37,63.16,610,478.76,735.29,78.49,65.11,NA,NA,NA,NA,NA,NA
615,Southern Region,Karnataka,State Sector,KPCL,Hydro,3617.2,12242,995,845.48,1097.16,84.97,77.06,7282,6367.85,7794.96,87.45,81.69,NA,NA,NA,NA,NA,NA
616,Southern Region,Karnataka,State Sector,State Sector,Hydro,3689.2,12402,1017,865.34,1119.44,85.09,77.3,7366,6432.36,7905.73,87.33,81.36,NA,NA,NA,NA,NA,NA
617,Southern Region,Karnataka,State Sector,ADANI POWER LIMITED UDUPI TPP,NA,1200,1800,158,715.09,0,452.59,0,1093,2603.4,433.35,238.19,600.76,17.7,80.1,0,17.73,42.24,7.03
618,Southern Region,Karnataka,State Sector,APL,Coal,1200,1800,158,715.09,0,452.59,0,1093,2603.4,433.35,238.19,600.76,17.7,80.1,0,17.73,42.24,7.03
619,Southern Region,Karnataka,Pvt Sector,BELLARY DG,NA,25.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
620,Southern Region,Karnataka,Pvt Sector,BELLARY,Diesel,25.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
621,Southern Region,Karnataka,Pvt Sector,TORANGALLU TPS (SBU-I),NA,260,1300,91,176.82,142.93,194.31,123.71,754,1101.03,1097.83,146.03,100.29,47.04,91.41,73.89,56.46,82.45,82.21
622,Southern Region,Karnataka,Pvt Sector,TORANGALLU TPS (SBU-II),NA,600,1900,148,366.76,94.42,247.81,388.43,1097,1581.18,1134.59,144.14,139.36,33.15,82.16,21.15,35.6,51.31,36.82
623,Southern Region,Karnataka,Pvt Sector,JSWEL,Coal,860,3200,239,543.58,237.35,227.44,229.02,1851,2682.21,2232.42,144.91,120.15,37.35,84.96,37.1,41.91,60.73,50.54
624,Southern Region,Karnataka,Pvt Sector,Pvt Sector,Thermal,2085.2,5000,397,1258.67,237.35,317.05,530.3,2944,5285.61,2665.77,179.54,198.28,25.9,82.12,15.49,27.83,49.96,25.2
625,Southern Region,Karnataka,Central Sector,KUDGI STPP,NA,2400,12850,689,1161.34,145.1,168.55,800.37,7893,7101.34,6553.38,89.97,108.36,38.59,65.04,8.13,64.03,57.61,53.17
626,Southern Region,Karnataka,Central Sector,NTPC Ltd.,Coal,2400,12850,689,1161.34,145.1,168.55,800.37,7893,7101.34,6553.38,89.97,108.36,38.59,65.04,8.13,64.03,57.61,53.17
627,Southern Region,Karnataka,Central Sector,Central,Thermal,2400,12850,689,1161.34,145.1,168.55,800.37,7893,7101.34,6553.38,89.97,108.36,38.59,65.04,8.13,64.03,57.61,53.17
628,Southern Region,Karnataka,Central Sector,KAIGA,NA,880,6256,459,533.71,618.93,116.28,86.23,3465,4282.2,4404.14,123.58,97.23,70.11,81.52,94.53,76.66,94.75,97.44
629,Southern Region,Karnataka,Central Sector,NPCIL,Nuclear,880,6256,459,533.71,618.93,116.28,86.23,3465,4282.2,4404.14,123.58,97.23,70.11,81.52,94.53,76.66,94.75,97.44
630,Southern Region,Karnataka,Central Sector,Central,Nuclear,880,6256,459,533.71,618.93,116.28,86.23,3465,4282.2,4404.14,123.58,97.23,70.11,81.52,94.53,76.66,94.75,97.44
631,Southern Region,Karnataka,Central Sector,Total,Thermal,9505.2,41350,2567,4187.93,1448.51,163.14,289.12,25313,24922.67,18729.78,98.46,133.06,36.4,59.38,20.54,51.99,51.19,38.47
632,Southern Region,Karnataka,Central Sector,Total,Nuclear,880,6256,459,533.71,618.93,116.28,86.23,3465,4282.2,4404.14,123.58,97.23,70.11,81.52,94.53,76.66,94.75,97.44
633,Southern Region,Karnataka,Central Sector,Total,Natural Gas,0,500,42,0,0,0,0,292,0,0,0,0,NA,NA,NA,NA,NA,NA
634,Southern Region,Karnataka,Central Sector,Total,Hydro,3689.2,12402,1017,865.34,1119.44,85.09,77.3,7366,6432.36,7905.73,87.33,81.36,NA,NA,NA,NA,NA,NA
635,Southern Region,Karnataka,Central Sector,Total,Karnataka,14074.4,60508,4085,5586.98,3186.88,136.77,175.31,36436,35637.23,31039.65,97.81,114.81,NA,NA,NA,NA,NA,NA
636,Southern Region,Kerala,State Sector,BRAMHAPURAM DG,NA,63.96,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
637,Southern Region,Kerala,State Sector,KOZHIKODE DG,NA,96,0,0,0,0,0,0,0,0,0.12,0,0,NA,NA,NA,NA,NA,NA
638,Southern Region,Kerala,State Sector,KSEB,Diesel,159.96,0,0,0,0,0,0,0,0,0.12,0,0,NA,NA,NA,NA,NA,NA
639,Southern Region,Kerala,State Sector,State Sector,Thermal,159.96,0,0,0,0,0,0,0,0,0.12,0,0,NA,NA,NA,NA,NA,NA
640,Southern Region,Kerala,State Sector,IDAMALAYAR HPS,NA,75,380,31,11.35,47.18,36.61,24.06,234,109.47,272.84,46.78,40.12,NA,NA,NA,NA,NA,NA
641,Southern Region,Kerala,State Sector,IDUKKI HPS,NA,780,2632,155,80.99,186.56,52.25,43.41,1579,1135.89,2160.87,71.94,52.57,NA,NA,NA,NA,NA,NA
642,Southern Region,Kerala,State Sector,KAKKAD HPS,NA,50,271,25,17.06,24.01,68.24,71.05,166,116.32,162.4,70.07,71.63,NA,NA,NA,NA,NA,NA
643,Southern Region,Kerala,State Sector,KUTTIYADI ADDL EXTN,NA,100,0,0,33.61,30.54,0,110.05,0,185.25,303.94,0,60.95,NA,NA,NA,NA,NA,NA
644,Southern Region,Kerala,State Sector,KUTTIYADI EXTN HPS,NA,50,0,0,7.3,17.38,0,42,0,87.41,149.94,0,58.3,NA,NA,NA,NA,NA,NA
645,Southern Region,Kerala,State Sector,KUTTIYADI HPS,NA,75,752,71,2.25,12.62,3.17,17.83,545,62.61,167.86,11.49,37.3,NA,NA,NA,NA,NA,NA
646,Southern Region,Kerala,State Sector,LOWER PERIYAR HPS,NA,180,624,82,73.15,81.55,89.21,89.7,487,312.67,543.76,64.2,57.5,NA,NA,NA,NA,NA,NA
647,Southern Region,Kerala,State Sector,NARIAMANGLAM HPS,NA,52.65,351,41,22.23,37.21,54.22,59.74,264,98.58,184.77,37.34,53.35,NA,NA,NA,NA,NA,NA
648,Southern Region,Kerala,State Sector,PALLIVASAL HPS,NA,37.5,162,13,14.99,13.77,115.31,108.86,90,89.89,91.99,99.88,97.72,NA,NA,NA,NA,NA,NA
649,Southern Region,Kerala,State Sector,PALLIVASAL NEW HPS,NA,NA,86,9,0,0,0,0,46,0,0,0,0,NA,NA,NA,NA,NA,NA
650,Southern Region,Kerala,State Sector,PANNIAR HPS,NA,30,172,19,20.84,23.53,109.68,88.57,115,85.99,120.87,74.77,71.14,NA,NA,NA,NA,NA,NA
651,Southern Region,Kerala,State Sector,PORINGALKUTTU HPS,NA,32,319,38,15.63,21.26,41.13,73.52,232,76.66,132.13,33.04,58.02,NA,NA,NA,NA,NA,NA
652,Southern Region,Kerala,State Sector,SABARIGIRI HPS,NA,300,1401,104,83.99,167.18,80.76,50.24,858,659.07,1001.84,76.81,65.79,NA,NA,NA,NA,NA,NA
653,Southern Region,Kerala,State Sector,SENGULAM HPS,NA,48,182,18,17.81,19.84,98.94,89.77,89,77.03,110.78,86.55,69.53,NA,NA,NA,NA,NA,NA
654,Southern Region,Kerala,State Sector,SHOLAYAR HPS,NA,54,237,22,25.4,25.32,115.45,100.32,116,128.88,133.72,111.1,96.38,NA,NA,NA,NA,NA,NA
655,Southern Region,Kerala,State Sector,THOTTIYAR HPS,NA,0,99,13,0,0,0,0,91,0,0,0,0,NA,NA,NA,NA,NA,NA
656,Southern Region,Kerala,State Sector,KSEB,Hydro,1864.15,7668,641,426.6,707.95,66.55,60.26,4912,3225.72,5537.71,65.67,58.25,NA,NA,NA,NA,NA,NA
657,Southern Region,Kerala,State Sector,State Sector,Hydro,1864.15,7668,641,426.6,707.95,66.55,60.26,4912,3225.72,5537.71,65.67,58.25,NA,NA,NA,NA,NA,NA
658,Southern Region,Kerala,Pvt Sector,COCHIN CCPP (Liq.),NA,174,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
659,Southern Region,Kerala,Pvt Sector,BSES(C),Natural Gas,174,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
660,Southern Region,Kerala,Pvt Sector,Pvt Sector,Natural Gas,174,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
661,Southern Region,Kerala,Central Sector,R. GANDHI CCPP (Liq.),NA,359.58,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
662,Southern Region,Kerala,Central Sector,NTPC Ltd.,Natural Gas,359.58,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
663,Southern Region,Kerala,Central Sector,Central,Natural Gas,359.58,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
664,Southern Region,Kerala,Central Sector,Total,Thermal,159.96,0,0,0,0,0,0,0,0,0.12,0,0,NA,NA,NA,NA,NA,NA
665,Southern Region,Kerala,Central Sector,Total,Natural Gas,533.58,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
666,Southern Region,Kerala,Central Sector,Total,Hydro,1864.15,7668,641,426.6,707.95,66.55,60.26,4912,3225.72,5537.71,65.67,58.25,NA,NA,NA,NA,NA,NA
667,Southern Region,Kerala,Central Sector,Total,Kerala,2557.69,7668,641,426.6,707.95,66.55,60.26,4912,3225.72,5537.83,65.67,58.25,NA,NA,NA,NA,NA,NA
668,Southern Region,Lakshadweep,State Sector,LAKSHDWEEP DG,NA,26.83,0,0,5.14,0,0,0,0,37.29,0,0,0,NA,NA,NA,NA,NA,NA
669,Southern Region,Lakshadweep,State Sector,LAKSH,Diesel,26.83,0,0,5.14,0,0,0,0,37.29,0,0,0,NA,NA,NA,NA,NA,NA
670,Southern Region,Lakshadweep,State Sector,State Sector,Thermal,26.83,0,0,5.14,0,0,0,0,37.29,0,0,0,NA,NA,NA,NA,NA,NA
671,Southern Region,Lakshadweep,State Sector,Total,Thermal,26.83,0,0,5.14,0,0,0,0,37.29,0,0,0,NA,NA,NA,NA,NA,NA
672,Southern Region,Lakshadweep,State Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
673,Southern Region,Lakshadweep,State Sector,Total,Lakshadweep,26.83,0,0,5.14,0,0,0,0,37.29,0,0,0,NA,NA,NA,NA,NA,NA
674,Southern Region,Puducherry,State Sector,KARAIKAL CCPP,NA,32.5,250,23,19.94,21.66,86.7,92.06,149,144.93,134.5,97.27,107.75,NA,NA,NA,NA,NA,NA
675,Southern Region,Puducherry,State Sector,"P&ED, Pudu.",Natural Gas,32.5,250,23,19.94,21.66,86.7,92.06,149,144.93,134.5,97.27,107.75,NA,NA,NA,NA,NA,NA
676,Southern Region,Puducherry,State Sector,State Sector,Natural Gas,32.5,250,23,19.94,21.66,86.7,92.06,149,144.93,134.5,97.27,107.75,NA,NA,NA,NA,NA,NA
677,Southern Region,Puducherry,State Sector,Total,Natural Gas,32.5,250,23,19.94,21.66,86.7,92.06,149,144.93,134.5,97.27,107.75,NA,NA,NA,NA,NA,NA
678,Southern Region,Puducherry,State Sector,Total,Puducherry,32.5,250,23,19.94,21.66,86.7,92.06,149,144.93,134.5,97.27,107.75,NA,NA,NA,NA,NA,NA
679,Southern Region,Tamil Nadu,State Sector,ENNORE SCTPP,NA,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,Southern Region,Tamil Nadu,State Sector,METTUR TPS,NA,840,5000,356,519.21,495.36,145.85,104.81,2908,3366.87,3075.37,115.78,109.48,56.96,83.08,79.26,67.4,78.04,71.28
681,Southern Region,Tamil Nadu,State Sector,METTUR TPS - II,NA,600,3000,200,282.33,273.79,141.17,103.12,1902,1793.63,1607.13,94.3,111.6,44.8,63.25,61.33,61.72,58.2,52.15
682,Southern Region,Tamil Nadu,State Sector,NORTH CHENNAI TPS,NA,1830,12450,545,680.07,575.18,124.78,118.24,7116,5190.46,4419.27,72.94,117.45,27.85,49.95,42.25,52.68,55.22,47.02
683,Southern Region,Tamil Nadu,State Sector,TUTICORIN TPS,NA,1050,6000,413,617.17,489.45,149.44,126.09,3410,3808.3,2952.3,111.68,128.99,52.87,79,62.65,63.23,70.62,54.75
684,Southern Region,Tamil Nadu,State Sector,UDANGUDI TPP,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,Southern Region,Tamil Nadu,State Sector,TANGEDCO,Coal,4320,26650,1514,2098.78,1833.78,138.62,114.45,15336,14159.26,12054.07,92.33,117.46,39.75,65.3,57.05,58.32,63.82,54.33
686,Southern Region,Tamil Nadu,State Sector,State Sector,Thermal,4320,26650,1514,2098.78,1833.78,138.62,114.45,15336,14159.26,12054.07,92.33,117.46,39.75,65.3,57.05,58.32,63.82,54.33
687,Southern Region,Tamil Nadu,State Sector,BASIN BRIDGE GT (Liq.),NA,120,0,0,0,0,0,0,0,0,0.83,0,0,NA,NA,NA,NA,NA,NA
