Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
97,Northern Region,Jammu and Kashmir,Central Sector,URI-II HPS,NA,240,1623,91,78.07,67.44,85.79,115.76,1058,1003.58,1059.67,94.86,94.71,NA,NA,NA,NA,NA,NA
98,Northern Region,Jammu and Kashmir,Central Sector,NHPC,Hydro,2250,12433,847,700.89,620.18,82.75,113.01,9570,8909.14,9119.53,93.09,97.69,NA,NA,NA,NA,NA,NA
99,Northern Region,Jammu and Kashmir,Central Sector,Central,Hydro,2250,12433,847,700.89,620.18,82.75,113.01,9570,8909.14,9119.53,93.09,97.69,NA,NA,NA,NA,NA,NA
100,Northern Region,Jammu and Kashmir,Central Sector,Total,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
101,Northern Region,Jammu and Kashmir,Central Sector,Total,Hydro,3360,17984,1162,984.2,890.73,84.7,110.49,14189,12899.56,13270.08,90.91,97.21,NA,NA,NA,NA,NA,NA
102,Northern Region,Jammu and Kashmir,Central Sector,Total,Jammu and Kashmir,3535,17984,1162,984.2,890.73,84.7,110.49,14189,12899.56,13270.08,90.91,97.21,NA,NA,NA,NA,NA,NA
103,Northern Region,Ladakh,Central Sector,CHUTAK HPS,NA,44,204,14,10.14,9.49,72.43,106.85,162,138.32,144.32,85.38,95.84,NA,NA,NA,NA,NA,NA
104,Northern Region,Ladakh,Central Sector,NIMMO BAZGO HPS,NA,45,226,18,19.45,21.41,108.06,90.85,174,169,178.6,97.13,94.62,NA,NA,NA,NA,NA,NA
105,Northern Region,Ladakh,Central Sector,NHPC,Hydro,89,430,32,29.59,30.9,92.47,95.76,336,307.32,322.92,91.46,95.17,NA,NA,NA,NA,NA,NA
106,Northern Region,Ladakh,Central Sector,Central,Hydro,89,430,32,29.59,30.9,92.47,95.76,336,307.32,322.92,91.46,95.17,NA,NA,NA,NA,NA,NA
107,Northern Region,Ladakh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
108,Northern Region,Ladakh,Central Sector,Total,Hydro,89,430,32,29.59,30.9,92.47,95.76,336,307.32,322.92,91.46,95.17,NA,NA,NA,NA,NA,NA
109,Northern Region,Ladakh,Central Sector,Total,Ladakh,89,430,32,29.59,30.9,92.47,95.76,336,307.32,322.92,91.46,95.17,NA,NA,NA,NA,NA,NA
110,Northern Region,Punjab,State Sector,GH TPS (LEH. MOH.),NA,920,3150,251,449.27,153.29,178.99,293.09,2012,2641.16,2096.17,131.27,126,36.67,65.64,22.4,42.58,55.9,44.36
111,Northern Region,Punjab,State Sector,ROPAR TPS,NA,840,3200,234,379.65,87.06,162.24,436.08,1951,2305.39,2083.76,118.16,110.64,37.44,60.75,13.93,45.22,53.44,48.3
112,Northern Region,Punjab,State Sector,PSPCL,Coal,1760,6350,485,828.92,240.35,170.91,344.88,3963,4946.55,4179.93,124.82,118.34,37.04,63.3,18.36,43.84,54.72,46.24
113,Northern Region,Punjab,State Sector,State Sector,Thermal,1760,6350,485,828.92,240.35,170.91,344.88,3963,4946.55,4179.93,124.82,118.34,37.04,63.3,18.36,43.84,54.72,46.24
114,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-I HPS,NA,67,265,19,26.27,11.58,138.26,226.86,212,188.72,166.92,89.02,113.06,NA,NA,NA,NA,NA,NA
115,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-II HPS,NA,67,265,19,26.67,11.63,140.37,229.32,212,190.92,176.88,90.06,107.94,NA,NA,NA,NA,NA,NA
116,Northern Region,Punjab,State Sector,MUKERIAN-I HPS,NA,45,234,24,29.63,21.27,123.46,139.3,120,137.5,544.08,114.58,25.27,NA,NA,NA,NA,NA,NA
