Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
89,Northern Region,Jammu and Kashmir,State Sector,UPPER SINDH-II HPS,NA,105,450,76,23.79,39.71,31.3,59.91,255,85.14,155.92,33.39,54.6,NA,NA,NA,NA,NA,NA
90,Northern Region,Jammu and Kashmir,State Sector,JKSPDC,Hydro,1110,5551,878,719.08,778.78,81.9,92.33,2900,2352.78,2484.15,81.13,94.71,NA,NA,NA,NA,NA,NA
91,Northern Region,Jammu and Kashmir,State Sector,State Sector,Hydro,1110,5551,878,719.08,778.78,81.9,92.33,2900,2352.78,2484.15,81.13,94.71,NA,NA,NA,NA,NA,NA
92,Northern Region,Jammu and Kashmir,Central Sector,DULHASTI HPS,NA,390,2267,250,174.3,249.46,69.72,69.87,1056,872.74,1040.41,82.65,83.88,NA,NA,NA,NA,NA,NA
93,Northern Region,Jammu and Kashmir,Central Sector,KISHANGANGA HPS,NA,330,1712,233,248.32,223.17,106.58,111.27,918,787.03,942.51,85.73,83.5,NA,NA,NA,NA,NA,NA
94,Northern Region,Jammu and Kashmir,Central Sector,SALAL HPS,NA,690,3503,517,497.31,501.12,96.19,99.24,1670,1653,1580.57,98.98,104.58,NA,NA,NA,NA,NA,NA
95,Northern Region,Jammu and Kashmir,Central Sector,SEWA-II HPS,NA,120,507,77,75.17,71.3,97.62,105.43,246,323.84,193.67,131.64,167.21,NA,NA,NA,NA,NA,NA
96,Northern Region,Jammu and Kashmir,Central Sector,URI-I HPS,NA,480,2821,333,326.79,337.78,98.14,96.75,1368,1315.38,1356.06,96.15,97,NA,NA,NA,NA,NA,NA
97,Northern Region,Jammu and Kashmir,Central Sector,URI-II HPS,NA,240,1623,170,179.06,178.94,105.33,100.07,682,687.34,686.14,100.78,100.17,NA,NA,NA,NA,NA,NA
98,Northern Region,Jammu and Kashmir,Central Sector,NHPC,Hydro,2250,12433,1580,1500.95,1561.77,95,96.11,5940,5639.33,5799.36,94.94,97.24,NA,NA,NA,NA,NA,NA
